"科目別売上（税込） - 2026/05/01 - 2026/05/31",,
"出力日時 : 2026/06/11 13:32",,
客室売上,数量,売上
室料,216,"3,318,662"
夕食大人,125,"750,000"
夕食子供(高),2,"10,000"
夕食子供(低),3,"15,000"
夕食幼児(食事・布団),1,"3,000"
朝食大人,141,"282,000"
朝食子供(高),2,"2,000"
朝食子供(低),4,"4,000"
朝食幼児(食事・布団),2,"2,000"
入湯税,312,"46,800"
ドリンク代,32,"89,480"
宴会料,7,"295,000"
客室売上合計,847,"4,817,942"
,,
,,
その他売上,数量,売上
その他売上合計,0,0
,,
,,
仮受,数量,売上
仮受合計,0,0
